Serial no;Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event
42;43;00:01:42.590000;Wilson Kipketer;DEN;12.12.1970;1.0;Monaco;08.10.1996;Men;800 m
43;44;00:01:42.600000;Johnny Gray;USA;19.06.1960;2.0;Koblenz;28.08.1985;Men;800 m
44;45;00:01:42.610000;Wilson Kipketer;DEN;12.12.1970;1.0;Zürich;14.08.1996;Men;800 m
45;45;00:01:42.610000;Wilson Kipketer;DEN;12.12.1970;1.0;Lausanne;07.02.1997;Men;800 m
46;45;00:01:42.610000;David Rudisha;KEN;17.12.1988;1.0;Monaco;22.07.2011;Men;800 m
47;45;00:01:42.610000;Taoufik Makhloufi;ALG;29.04.1988;2.0;Rio de Janeiro;15.08.2016;Men;800 m
48;49;00:01:42.620000;Patrick Ndururi;KEN;12.01.1969;2.0;Zürich;13.08.1997;Men;800 m
49;50;00:01:42.650000;Johnny Gray;USA;19.06.1960;1.0;Zürich;17.08.1988;Men;800 m
50;51;00:01:42.660000;Nijel Amos;BOT;15.03.1994;2.0;Monaco;17.07.2015;Men;800 m
51;52;00:01:42.670000;Alfred Kirwa Yego;KEN;28.11.1986;2.0;Rieti;09.06.2009;Men;800 m
52;53;00:01:42.690000;Hezekiél Sepeng;RSA;30.06.1974;2.0;Bruxelles;09.03.1999;Men;800 m
53;53;00:01:42.690000;Japheth Kimutai;KEN;20.12.1978;3.0;Bruxelles;09.03.1999;Men;800 m
54;53;00:01:42.690000;Abubaker Kaki Khamis;SUD;21.06.1989;1.0;Oslo;06.06.2008;Men;800 m
55;56;00:01:42.740000;Hezekiél Sepeng;RSA;30.06.1974;2.0;Atlanta;31.07.1996;Men;800 m
56;56;00:01:42.740000;Wilson Kipketer;DEN;12.12.1970;1.0;Bruxelles;30.08.2002;Men;800 m
57;58;00:01:42.750000;André Bucher;SUI;19.10.1976;2.0;Bruxelles;24.08.2001;Men;800 m
58;59;00:01:42.760000;Wilson Kipketer;DEN;12.12.1970;1.0;Oslo;07.05.1996;Men;800 m
59;59;00:01:42.760000;Japheth Kimutai;KEN;20.12.1978;1.0;Stuttgart;19.07.1998;Men;800 m
60;61;00:01:42.770000;Wilson Kipketer;DEN;12.12.1970;1.0;Bruxelles;23.08.1996;Men;800 m
61;61;00:01:42.770000;Wilson Kipketer;DEN;12.12.1970;1.0;Monaco;16.08.1997;Men;800 m
62;63;00:01:42.790000;Frederick Onyancha;KEN;25.12.1969;3.0;Atlanta;31.07.1996;Men;800 m
63;63;00:01:42.790000;Wilson Kipketer;DEN;12.12.1970;1.0;Roma;07.07.1999;Men;800 m
64;63;00:01:42.790000;Yuriy Borzakovskiy;RUS;12.04.1981;1.0;Monaco;19.07.2008;Men;800 m
65;63;00:01:42.790000;Youssef Saad Kamel;BRN;29.03.1983;2.0;Monaco;19.07.2008;Men;800 m
66;67;00:01:42.800000;Johnny Gray;USA;19.06.1960;1.0;New Orleans;24.06.1992;Men;800 m
67;68;00:01:42.810000;Jean-Patrick Nduwimana;BDI;09.05.1978;2.0;Zürich;17.08.2001;Men;800 m
68;68;00:01:42.810000;David Rudisha;KEN;17.12.1988;2.0;Zürich;30.08.2012;Men;800 m
69;70;00:01:42.820000;Duane Solomon;USA;28.12.1984;4.0;London;08.09.2012;Men;800 m
70;71;00:01:42.830000;Mohammed Aman;ETH;10.01.1994;3.0;Monaco;18.07.2014;Men;800 m
71;72;00:01:42.840000;David Rudisha;KEN;17.12.1988;1.0;Nairobi;30.07.2010;Men;800 m
72;72;00:01:42.840000;Ferguson Cheruiyot;KEN;30.11.1989;4.0;Monaco;18.07.2014;Men;800 m
73;74;00:01:42.850000;Norberto Téllez;CUB;22.01.1972;4.0;Atlanta;31.07.1996;Men;800 m
74;75;00:01:42.860000;Mbulaeni Mulaudzi;RSA;08.09.1980;3.0;Rieti;09.06.2009;Men;800 m
75;76;00:01:42.870000;Wilson Kipketer;DEN;12.12.1970;1.0;Monaco;25.07.1995;Men;800 m
76;76;00:01:42.870000;Wilson Kipketer;DEN;12.12.1970;1.0;Zürich;16.08.1995;Men;800 m
77;76;00:01:42.870000;Japheth Kimutai;KEN;20.12.1978;1.0;Zürich;08.12.1998;Men;800 m
78;76;00:01:42.870000;Alfred Kipketer;KEN;26.12.1996;1.0;Saint-Denis;27.08.2016;Men;800 m
79;80;00:01:42.880000;Steve Cram;GBR;14.10.1960;1.0;Zürich;21.08.1985;Men;800 m
80;81;00:01:42.890000;Mbulaeni Mulaudzi;RSA;08.09.1980;2.0;Bruxelles;09.05.2003;Men;800 m
81;82;00:01:42.900000;Patrick Ndururi;KEN;12.01.1969;1.0;Roma;14.07.1998;Men;800 m
82;82;00:01:42.900000;André Bucher;SUI;19.10.1976;1.0;Monaco;20.07.2001;Men;800 m
83;84;00:01:42.910000;William Yiampoy;KEN;17.05.1974;3.0;Rieti;09.08.2002;Men;800 m
84;84;00:01:42.910000;David Rudisha;KEN;17.12.1988;1.0;London;08.05.2011;Men;800 m
85;86;00:01:42.920000;André Bucher;SUI;19.10.1976;4.0;Bruxelles;09.03.1999;Men;800 m
86;87;00:01:42.930000;Clayton Murphy;USA;26.02.1995;3.0;Rio de Janeiro;15.08.2016;Men;800 m
87;88;00:01:42.950000;Vebjørn Rodal;NOR;16.09.1972;2.0;Oslo;07.05.1996;Men;800 m
88;88;00:01:42.950000;Boaz Lalang;KEN;08.02.1989;2.0;Rieti;29.08.2010;Men;800 m
89;88;00:01:42.950000;Nick Symmonds;USA;30.12.1983;5.0;London;08.09.2012;Men;800 m
90;91;00:01:42.960000;Johnny Gray;USA;19.06.1960;1.0;Koblenz;29.08.1984;Men;800 m
91;91;00:01:42.960000;Wilfred Bungei;KEN;24.07.1980;3.0;Zürich;17.08.2001;Men;800 m
92;93;00:01:42.970000;Peter Elliott;GBR;09.10.1962;1.0;Sevilla;30.05.1990;Men;800 m
93;93;00:01:42.970000;Ayanleh Souleiman;DJI;03.12.1992;3.0;Monaco;17.07.2015;Men;800 m
94;95;00:01:42.980000;Joaquim Cruz;BRA;12.03.1963;1.0;Berlin;23.08.1985;Men;800 m
95;95;00:01:42.980000;Patrick Konchellah;KEN;20.04.1968;2.0;Köln;24.08.1997;Men;800 m
96;95;00:01:42.980000;Wilson Kipketer;DEN;12.12.1970;1.0;Fukuoka;13.09.1997;Men;800 m
97;95;00:01:42.980000;Japheth Kimutai;KEN;20.12.1978;2.0;Roma;07.07.1999;Men;800 m
98;95;00:01:42.980000;David Rudisha;KEN;17.12.1988;5.0;Monaco;18.07.2014;Men;800 m
99;95;00:01:42.980000;Taoufik Makhloufi;ALG;29.04.1988;2.0;Saint-Denis;27.08.2016;Men;800 m
100;101;00:01:43;Joaquim Cruz;BRA;12.03.1963;1.0;Los Angeles;08.06.1984;Men;800 m
101;101;00:01:43;William Yiampoy;KEN;17.05.1974;4.0;Zürich;17.08.2001;Men;800 m
102;101;00:01:43;David Rudisha;KEN;17.12.1988;1.0;Ad-Dawhah;14.05.2010;Men;800 m
103;104;00:01:43.010000;Wilson Kipketer;DEN;12.12.1970;1.0;Zürich;08.11.1999;Men;800 m
104;105;00:01:43.030000;Kenneth Kimwetich;KEN;01.01.1973;2.0;Stuttgart;19.07.1998;Men;800 m
105;105;00:01:43.030000;Nick Symmonds;USA;30.12.1983;2.0;Bruxelles;09.06.2013;Men;800 m
106;107;00:01:43.050000;Wilfred Bungei;KEN;24.07.1980;1.0;Hengelo;06.01.2003;Men;800 m
107;107;00:01:43.050000;Jonathan Kitilit;KEN;24.04.1994;3.0;Saint-Denis;27.08.2016;Men;800 m
108;109;00:01:43.060000;Billy Konchellah;KEN;20.10.1961;1.0;Roma;09.01.1987;Men;800 m
109;109;00:01:43.060000;Wilfred Bungei;KEN;24.07.1980;1.0;Zürich;08.06.2004;Men;800 m
110;111;00:01:43.070000;Sebastian Coe;GBR;29.09.1956;2.0;Köln;25.08.1985;Men;800 m
111;111;00:01:43.070000;Yeimer López;CUB;20.08.1982;1.0;Jerez de la Frontera;24.06.2008;Men;800 m
112;113;00:01:43.080000;José Luis Barbosa;BRA;27.05.1961;1.0;Rieti;09.06.1991;Men;800 m
113;113;00:01:43.080000;Ayanleh Souleiman;DJI;03.12.1992;1.0;Barcelona;07.08.2015;Men;800 m
114;115;00:01:43.090000;Japheth Kimutai;KEN;20.12.1978;2.0;Monaco;08.04.1999;Men;800 m
115;115;00:01:43.090000;Djabir Said-Guerni;ALG;29.03.1977;5.0;Bruxelles;09.03.1999;Men;800 m
116;115;00:01:43.090000;Mbulaeni Mulaudzi;RSA;08.09.1980;1.0;Rieti;27.08.2006;Men;800 m
117;115;00:01:43.090000;Abubaker Kaki Khamis;SUD;21.06.1989;1.0;Ad-Dawhah;05.08.2009;Men;800 m
118;119;00:01:43.100000;Johnny Gray;USA;19.06.1960;1.0;Hengelo;14.08.1988;Men;800 m
119;119;00:01:43.100000;Abubaker Kaki Khamis;SUD;21.06.1989;1.0;Hengelo;06.01.2009;Men;800 m
120;119;00:01:43.100000;Abubaker Kaki Khamis;SUD;21.06.1989;1.0;Monaco;22.07.2010;Men;800 m
121;119;00:01:43.100000;David Rudisha;KEN;17.12.1988;1.0;Ad-Dawhah;05.11.2012;Men;800 m
122;123;00:01:43.110000;Wilson Kipketer;DEN;12.12.1970;1.0;Oslo;30.06.1999;Men;800 m
123;123;00:01:43.110000;Youssef Saad Kamel;BRN;29.03.1983;1.0;Zürich;08.06.2004;Men;800 m
124;123;00:01:43.110000;Nijel Amos;BOT;15.03.1994;1.0;Mannheim;06.09.2012;Men;800 m
125;126;00:01:43.120000;André Bucher;SUI;19.10.1976;1.0;Lausanne;07.05.2000;Men;800 m
126;126;00:01:43.120000;Hezekiél Sepeng;RSA;30.06.1974;3.0;Bruxelles;09.05.2003;Men;800 m
127;128;00:01:43.130000;Wilson Kipketer;DEN;12.12.1970;1.0;Byrkjelo;16.06.1996;Men;800 m
128;128;00:01:43.130000;Abubaker Kaki Khamis;SUD;21.06.1989;2.0;London;08.05.2011;Men;800 m
129;128;00:01:43.130000;Abraham Rotich;KEN;26.06.1993;1.0;Monaco;20.07.2012;Men;800 m
130;131;00:01:43.150000;Japheth Kimutai;KEN;20.12.1978;4.0;Rieti;09.08.2002;Men;800 m
131;131;00:01:43.150000;Mehdi Baala;FRA;17.08.1978;5.0;Rieti;09.08.2002;Men;800 m
132;131;00:01:43.150000;David Rudisha;KEN;17.12.1988;1.0;Melbourne;03.04.2010;Men;800 m
133;131;00:01:43.150000;Asbel Kiprop;KEN;30.06.1989;2.0;Monaco;22.07.2011;Men;800 m
134;131;00:01:43.150000;Abraham Rotich;KEN;26.06.1993;1.0;Heusden-Zolder;07.08.2012;Men;800 m
135;136;00:01:43.160000;Paul Ereng;KEN;22.08.1967;1.0;Zürich;16.08.1989;Men;800 m
136;136;00:01:43.160000;Hezekiél Sepeng;RSA;30.06.1974;3.0;Monaco;08.04.1999;Men;800 m
137;138;00:01:43.170000;Benson Koech;KEN;10.11.1974;1.0;Rieti;28.08.1994;Men;800 m
138;138;00:01:43.170000;Yuriy Borzakovskiy;RUS;12.04.1981;2.0;Monaco;20.07.2001;Men;800 m
139;138;00:01:43.170000;Asbel Kiprop;KEN;30.06.1989;2.0;Ad-Dawhah;05.08.2009;Men;800 m
140;141;00:01:43.180000;Wilson Kipketer;DEN;12.12.1970;2.0;Zürich;08.12.1998;Men;800 m
141;142;00:01:43.190000;Steve Cram;GBR;14.10.1960;1.0;Rieti;09.07.1986;Men;800 m
142;142;00:01:43.190000;Hezekiél Sepeng;RSA;30.06.1974;3.0;Köln;24.08.1997;Men;800 m
143;144;00:01:43.200000;José Luis Barbosa;BRA;27.05.1961;2.0;Zürich;17.08.1988;Men;800 m
144;144;00:01:43.200000;Mark Everett;USA;02.09.1968;1.0;Linz;07.09.1997;Men;800 m
145;144;00:01:43.200000;Mohammed Aman;ETH;10.01.1994;6.0;London;08.09.2012;Men;800 m
146;147;00:01:43.210000;Patrick Ndururi;KEN;12.01.1969;3.0;Zürich;08.12.1998;Men;800 m
147;148;00:01:43.220000;Steve Cram;GBR;14.10.1960;1.0;Edinburgh;31.07.1986;Men;800 m
148;148;00:01:43.220000;Paul Ereng;KEN;22.08.1967;1.0;Nice;07.10.1989;Men;800 m
149;148;00:01:43.220000;Pawel Czapiewski;POL;30.03.1978;5.0;Zürich;17.08.2001;Men;800 m
150;148;00:01:43.220000;Ferguson Cheruiyot;KEN;30.11.1989;3.0;Bruxelles;09.06.2013;Men;800 m
151;152;00:01:43.230000;Joaquim Cruz;BRA;12.03.1963;2.0;Zürich;21.08.1985;Men;800 m
152;153;00:01:43.240000;Wilfred Bungei;KEN;24.07.1980;1.0;Ostrava;06.12.2003;Men;800 m
153;154;00:01:43.250000;Vebjørn Rodal;NOR;16.09.1972;1.0;London;07.12.1996;Men;800 m
154;154;00:01:43.250000;Djabir Said-Guerni;ALG;29.03.1977;1.0;Bruxelles;25.08.2000;Men;800 m
155;154;00:01:43.250000;Mbulaeni Mulaudzi;RSA;08.09.1980;1.0;Rehlingen;06.09.2003;Men;800 m
156;154;00:01:43.250000;Amine Laâlou;MAR;13.05.1982;1.0;Roma;14.07.2006;Men;800 m
157;154;00:01:43.250000;David Rudisha;KEN;17.12.1988;1.0;Lausanne;07.08.2010;Men;800 m
158;159;00:01:43.260000;Sammy Kibet Langat;KEN;24.01.1970;1.0;Zürich;14.08.1996;Men;800 m
159;159;00:01:43.260000;Mbulaeni Mulaudzi;RSA;08.09.1980;3.0;Monaco;29.07.2008;Men;800 m
160;161;00:01:43.270000;David Rudisha;KEN;17.12.1988;1.0;Split;09.05.2010;Men;800 m
161;161;00:01:43.270000;Duane Solomon;USA;28.12.1984;1.0;Des Moines;23.06.2013;Men;800 m
162;161;00:01:43.270000;Nijel Amos;BOT;15.03.1994;1.0;Lausanne;07.09.2015;Men;800 m
163;164;00:01:43.280000;Johnny Gray;USA;19.06.1960;2.0;Bruxelles;24.08.1984;Men;800 m
164;164;00:01:43.280000;Johnny Gray;USA;19.06.1960;3.0;Köln;26.08.1984;Men;800 m
165;164;00:01:43.280000;Sammy Koskei;KEN;14.05.1961;2.0;Koblenz;29.08.1984;Men;800 m
166;164;00:01:43.280000;Wilson Kipketer;DEN;12.12.1970;4.0;Bruxelles;09.05.2003;Men;800 m
167;164;00:01:43.280000;Nijel Amos;BOT;15.03.1994;1.0;Berlin;09.06.2015;Men;800 m
168;169;00:01:43.290000;Wilson Kipketer;KEN;12.12.1970;1.0;Oslo;22.07.1994;Men;800 m
169;169;00:01:43.290000;William Yiampoy;KEN;17.05.1974;2.0;Zürich;08.06.2004;Men;800 m
170;169;00:01:43.290000;Boaz Lalang;KEN;08.02.1989;2.0;Monaco;22.07.2010;Men;800 m
171;169;00:01:43.290000;Mbulaeni Mulaudzi;RSA;08.09.1980;3.0;Monaco;22.07.2010;Men;800 m
172;173;00:01:43.300000;William Tanui;KEN;22.02.1964;2.0;Rieti;09.06.1991;Men;800 m
173;173;00:01:43.300000;Wilson Kipketer;DEN;12.12.1970;1.0;Sevilla;29.08.1999;Men;800 m
174;173;00:01:43.300000;Yuriy Borzakovskiy;RUS;12.04.1981;6.0;Zürich;17.08.2001;Men;800 m
175;173;00:01:43.300000;Adam Kszczot;POL;02.09.1989;2.0;Rieti;09.10.2011;Men;800 m
176;177;00:01:43.310000;Nixon Kiprotich;KEN;04.12.1962;1.0;Rieti;09.06.1992;Men;800 m
177;177;00:01:43.310000;André Bucher;SUI;19.10.1976;2.0;Bruxelles;25.08.2000;Men;800 m
178;177;00:01:43.310000;Wilfred Bungei;KEN;24.07.1980;2.0;Rieti;27.08.2006;Men;800 m
179;177;00:01:43.310000;Mohammed Aman;ETH;10.01.1994;1.0;Moskva;13.08.2013;Men;800 m
180;177;00:01:43.310000;David Rudisha;KEN;17.12.1988;1.0;Berlin;09.03.2016;Men;800 m
181;182;00:01:43.320000;Hezekiél Sepeng;RSA;30.06.1974;2.0;Sevilla;29.08.1999;Men;800 m
182;182;00:01:43.320000;Djabir Said-Guerni;ALG;29.03.1977;2.0;Lausanne;07.05.2000;Men;800 m
183;182;00:01:43.320000;Abubaker Kaki Khamis;SUD;21.06.1989;7.0;London;08.09.2012;Men;800 m
184;185;00:01:43.330000;Johnny Gray;USA;19.06.1960;3.0;Köln;25.08.1985;Men;800 m
185;185;00:01:43.330000;Robert Kibsubai Chirchir;KEN;26.11.1972;3.0;Stuttgart;19.07.1998;Men;800 m
186;185;00:01:43.330000;William Chirchir;KEN;06.02.1979;6.0;Bruxelles;09.03.1999;Men;800 m
187;185;00:01:43.330000;Joseph Mutua Mwengi;KEN;10.12.1978;1.0;Zürich;16.08.2002;Men;800 m
188;185;00:01:43.330000;Mohammed Aman;ETH;10.01.1994;1.0;Lausanne;07.04.2013;Men;800 m
189;190;00:01:43.340000;José Luis Barbosa;BRA;27.05.1961;1.0;Koblenz;28.08.1988;Men;800 m
190;190;00:01:43.340000;Wilson Kipketer;DEN;12.12.1970;1.0;Berlin;30.08.1996;Men;800 m
191;190;00:01:43.340000;André Bucher;SUI;19.10.1976;1.0;Saint-Denis;07.06.2001;Men;800 m
192;190;00:01:43.340000;Asbel Kiprop;KEN;30.06.1989;1.0;Saint-Denis;07.05.2014;Men;800 m
193;190;00:01:43.340000;David Rudisha;KEN;17.12.1988;1.0;Glasgow;07.12.2014;Men;800 m
194;190;00:01:43.340000;Boris Berian;USA;19.12.1992;4.0;Monaco;17.07.2015;Men;800 m
195;196;00:01:43.350000;David Mack;USA;30.05.1961;3.0;Koblenz;28.08.1985;Men;800 m
196;196;00:01:43.350000;Wilson Kipketer;DEN;12.12.1970;3.0;Bruxelles;25.08.2000;Men;800 m
197;196;00:01:43.350000;Joseph Mutua Mwengi;KEN;10.12.1978;1.0;Rieti;09.05.2004;Men;800 m
198;196;00:01:43.350000;David Rudisha;KEN;17.12.1988;1.0;Székesfehérvár;18.07.2016;Men;800 m
199;200;00:01:43.360000;Johnny Gray;USA;19.06.1960;1.0;Zürich;16.08.1995;Men;800 m
200;200;00:01:43.360000;William Yiampoy;KEN;17.05.1974;2.0;Bruxelles;30.08.2002;Men;800 m
201;200;00:01:43.360000;Amine Laâlou;MAR;13.05.1982;2.0;Hengelo;06.01.2009;Men;800 m
202;203;00:01:43.370000;William Tanui;KEN;22.02.1964;2.0;Rieti;09.06.1992;Men;800 m
203;203;00:01:43.370000;Mohammed Aman;ETH;10.01.1994;3.0;Rieti;09.10.2011;Men;800 m
204;203;00:01:43.370000;Nicholas Kipkoech;KEN;22.10.1992;1.0;Nairobi;29.04.2016;Men;800 m
205;206;00:01:43.380000;Nixon Kiprotich;KEN;04.12.1962;2.0;Zürich;16.08.1989;Men;800 m
206;206;00:01:43.380000;Sebastian Coe;GBR;29.09.1956;1.0;Bern;29.08.1989;Men;800 m
207;206;00:01:43.380000;David Kiptoo Singoei;KEN;26.06.1965;2.0;Monaco;08.10.1996;Men;800 m
208;206;00:01:43.380000;Wilson Kipketer;DEN;12.12.1970;1.0;Athínai;08.08.1997;Men;800 m
209;206;00:01:43.380000;Rich Kenah;USA;04.08.1970;3.0;Zürich;13.08.1997;Men;800 m
210;206;00:01:43.380000;Arthémon Hatungimana;BDI;21.01.1974;3.0;Bruxelles;24.08.2001;Men;800 m
211;206;00:01:43.380000;Mbulaeni Mulaudzi;RSA;08.09.1980;1.0;Zürich;18.08.2006;Men;800 m
212;213;00:01:43.390000;Billy Konchellah;KEN;20.10.1961;1.0;Zürich;19.08.1987;Men;800 m
213;213;00:01:43.390000;Johnny Gray;USA;19.06.1960;1.0;Oslo;07.01.1989;Men;800 m
214;213;00:01:43.390000;William Tanui;KEN;22.02.1964;1.0;Bruxelles;08.10.1990;Men;800 m
215;213;00:01:43.390000;Patrick Konchellah;KEN;20.04.1968;2.0;Linz;07.09.1997;Men;800 m
216;217;00:01:43.400000;David Rudisha;KEN;17.12.1988;1.0;Eldoret;30.06.2016;Men;800 m
217;217;00:01:43.400000;Mark Everett;USA;02.09.1968;1.0;Oslo;07.04.1992;Men;800 m
218;217;00:01:43.400000;Leonard Kosencha;KEN;21.08.1994;2.0;Monaco;20.07.2012;Men;800 m
219;220;00:01:43.410000;Peter Elliott;GBR;09.10.1962;2.0;Roma;09.01.1987;Men;800 m
220;220;00:01:43.410000;Pierre-Ambroise Bosse;FRA;11.05.1992;4.0;Rio de Janeiro;15.08.2016;Men;800 m
221;222;00:01:43.420000;Steve Cram;GBR;14.10.1960;3.0;Zürich;17.08.1988;Men;800 m
222;222;00:01:43.420000;David Kiptoo Singoei;KEN;26.06.1965;2.0;Rieti;09.01.1996;Men;800 m
223;222;00:01:43.420000;Yuriy Borzakovskiy;RUS;12.04.1981;1.0;Athínai;07.03.2006;Men;800 m
224;225;00:01:43.430000;Johnny Gray;USA;19.06.1960;3.0;Zürich;21.08.1985;Men;800 m
225;225;00:01:43.430000;Youssef Saad Kamel;BRN;29.03.1983;2.0;Rieti;09.05.2004;Men;800 m
226;225;00:01:43.430000;Ferguson Cheruiyot;KEN;30.11.1989;4.0;Saint-Denis;27.08.2016;Men;800 m
227;228;00:01:43.440000;Alberto Juantorena;CUB;03.12.1950;1.0;Sofia;21.08.1977;Men;800 m
228;228;00:01:43.440000;Hezekiél Sepeng;RSA;30.06.1974;1.0;Zürich;13.08.1997;Men;800 m
229;228;00:01:43.440000;Duane Solomon;USA;28.12.1984;3.0;Monaco;20.07.2012;Men;800 m
230;231;00:01:43.450000;Paul Ereng;KEN;22.08.1967;1.0;Seoul;26.09.1988;Men;800 m
231;231;00:01:43.450000;Benson Koech;KEN;10.11.1974;2.0;Zürich;16.08.1995;Men;800 m
232;231;00:01:43.450000;Patrick Ndururi;KEN;12.01.1969;2.0;Fukuoka;13.09.1997;Men;800 m
233;231;00:01:43.450000;Bram Som;NED;20.02.1980;2.0;Zürich;18.08.2006;Men;800 m
234;231;00:01:43.450000;Asbel Kiprop;KEN;30.06.1989;2.0;Ad-Dawhah;14.05.2010;Men;800 m
235;231;00:01:43.450000;Adam Kszczot;POL;02.09.1989;5.0;Monaco;17.07.2015;Men;800 m
236;237;00:01:43.460000;Johnny Gray;USA;19.06.1960;1.0;Zürich;13.08.1986;Men;800 m
237;237;00:01:43.460000;Arthémon Hatungimana;BDI;21.01.1974;2.0;Zürich;14.08.1996;Men;800 m
238;237;00:01:43.460000;David Rudisha;KEN;17.12.1988;1.0;Tomblaine;24.06.2011;Men;800 m
239;240;00:01:43.470000;Hezekiél Sepeng;RSA;30.06.1974;1.0;Durham;13.07.1996;Men;800 m
240;241;00:01:43.480000;Wilfred Bungei;KEN;24.07.1980;1.0;Bruxelles;09.03.2004;Men;800 m
241;241;00:01:43.480000;Asbel Kiprop;KEN;30.06.1989;1.0;Athínai;13.07.2009;Men;800 m
242;241;00:01:43.480000;Abubaker Kaki Khamis;SUD;21.06.1989;1.0;Torino;06.12.2010;Men;800 m
